RPC_RATE,KEPT_RATE,NRPC_RATE,MONTH_END_DPD,Total_Score,Risk_Level
77.61724736671935,60.92212975371808,91.29078714572785,200,20,3
11.351963511163433,14.241048782771482,83.3077062507979,200,8,5
57.9294558501117,83.64430777966628,94.36420086934059,100,22,3
49.83062279482444,3.9729797854886284,7.433564611629661,30,28,2
67.84157639262406,69.09748163906565,35.69937933057917,30,34,1
15.285798067561519,46.540204433171404,87.29024192332903,100,14,4
19.56742141830898,64.40159174430423,78.93464776506963,30,22,3
99.1842643703457,50.87022657272935,11.992553054762167,60,36,1
39.51966412453146,13.442410121652715,83.49392835203624,100,8,5
17.35277317161995,4.623288522810687,86.45615957218249,200,8,5
13.203375519203764,3.3616186652472124,40.76415475468696,100,14,4
98.1077201589022,57.11824160770453,73.6064212729744,200,24,3
87.86711387258593,53.569372381087476,33.24441868831504,45,34,1
39.950392220008226,7.38248162151276,42.42586192723172,60,16,4
94.70975483379294,27.73478230593468,0.16129305399282812,60,32,2
1.414858935899943,4.168362153378469,82.45463408032798,200,8,5
83.91663835918347,99.52106005082071,30.822692771029438,30,38,1
17.031062113208762,6.118324033420441,90.61231459186268,200,8,5
48.25233104594344,59.085273666870805,8.444447640415708,45,32,2
9.016919911159704,11.168035166609569,51.456163495489534,100,14,4
94.84896808212899,77.61272231246036,49.624666452053404,60,34,1
90.14345792061576,69.21684155363349,80.15887760506624,30,30,2
53.221473537471255,4.905630423491392,99.47370932352054,100,14,4
67.94736922090307,45.72891751626592,33.73952540277042,60,30,2
99.35417664756774,87.24830550641417,33.99707536608483,45,36,1
95.06765557435745,62.12982027081145,29.412004694178997,60,34,1
1.8344972253625524,0.8147849665748774,59.15486965554532,100,8,5
39.574534185567614,15.34736557707923,69.5230880411865,200,8,5
17.912615518072872,19.019509329321195,98.0640463375227,200,8,5
29.61645028644324,11.884269686742876,44.61637330653896,100,16,4
10.4344545382404,74.4906438558815,76.10546607698198,200,16,4
55.90813029415238,97.49406165050353,89.56585005788314,45,26,2
99.51290374895015,93.51056841005739,48.01306622322886,45,34,1
41.16510264444037,51.758053371732984,73.34398141912189,200,20,3
1.0204182266829398,50.048887478699946,6.04077390213461,200,22,3
30.89496737613708,73.74514931671735,71.69535361011461,100,20,3
23.664737267768654,53.56069854128287,99.30883890081692,60,22,3
59.245777773660635,26.253701380091755,89.23817072848921,60,14,4
37.48190817888856,30.93728015089615,93.78893716860645,100,14,4
59.27322872050175,4.201722858077151,57.641329561346524,200,10,4
35.86705047382307,15.017544406548067,58.12479006571277,100,16,4
72.28752364501202,85.79243832561588,45.30178128991255,30,34,1
62.10891773149123,93.24011020784046,37.878035317637014,45,34,1
10.017838337221452,40.725982408407866,63.41315098053987,200,14,4
77.9488150120431,51.323990298554335,82.14071968995455,100,22,3
72.4045061833252,83.20022906679816,46.52290415300704,60,32,2
92.43932450070801,56.08490663225921,5.121745684802437,200,30,2
65.42924412138531,81.23484213070445,51.40618097986229,45,32,2
21.165427681279205,15.059907322919763,46.58064020379891,100,16,4
36.61622962257769,64.62897948129353,98.33338855341698,60,22,3
61.59034852646425,50.75775085338582,30.92850773988747,30,34,1
15.921150350445945,74.09284747069694,90.76338818870214,200,14,4
52.41761943835671,21.708995420536304,23.04615824778039,200,20,3
23.384997520941198,1.1166465549685922,39.810324483171634,200,8,5
11.731204419364493,32.12686504492446,39.06525710603385,200,8,5
59.04557167292971,6.428954930895625,83.57842016154383,200,6,5
96.45300918285098,63.06216200316489,11.168360173205095,60,36,1
85.8107230242655,67.34385840197162,0.5003751419344726,45,36,1
19.408456311168585,13.379576164186336,83.97433508297443,100,8,5
99.57502776894836,68.03561962403255,32.86275084348351,60,34,1
68.51066214465308,61.600028024882135,82.57063104759796,200,20,3
5.657000118619604,12.22836874383011,27.29634000893475,100,16,4
90.98093744485189,26.054089838442174,0.23273478602837683,30,34,1
6.487551736407848,4.9282325506663005,85.33327688537588,200,8,5
39.27671272911315,15.411854522316236,63.27687316051478,200,8,5
79.86593106512723,15.95451750749044,69.7494365863521,200,8,5
16.945279604541994,78.32734625045687,64.89002264378031,60,24,3
37.8230003461301,34.261550069290124,10.182463665360297,60,26,2
97.61285725224681,86.23324248148027,12.526287953782289,45,38,1
93.91272100866287,71.14385365823478,10.819231770542459,60,36,1
53.91425556801411,94.14448864669103,95.47885206632148,45,26,2
17.814277057392648,8.376703557691956,78.2835076545248,100,12,4
42.40745641657624,70.0172671247255,72.79027748870291,100,22,3
25.121820332234545,98.45675564247846,14.053711105570244,200,26,2
79.02175419134893,82.01810395961203,30.03962128901907,60,26,2
16.99524756371765,92.29346208976109,97.50003130189604,45,22,3
36.11020220491413,94.85049625371936,61.82099476300466,200,20,3
39.188192145421056,21.260601414844913,82.8842147266372,100,10,4
85.27073315738316,96.52428672787559,54.1850180692842,60,34,1
27.401776185756198,7.201711853018555,80.40269009641689,100,12,4
4.779997990479146,19.64154002110262,79.32738571854956,200,6,5
56.58026258598562,79.39158920418788,24.036311013154645,30,34,1
3.73829811200741,15.024269585383243,87.0435312492414,200,8,5
11.171316431127476,68.17544666781494,69.01800516533577,60,22,3
86.39140869920939,86.92892406600562,45.700335620808396,60,34,1
74.86576197221511,89.82652639676814,20.260123497121675,60,34,1
89.9447118863787,57.24883167434782,87.2021347858082,100,24,3
39.953682236672414,23.522921501342243,89.45213716560905,200,8,5
92.25205374465317,77.58760044237417,58.94660703573364,45,34,1
81.45874463810057,97.26294529500315,57.15078485225109,45,34,1
39.7990506234965,14.750950715199107,91.27915871113788,200,6,5
30.474784262446597,72.75307215455275,37.23885806813554,60,28,2
2.9673605738533504,37.07527784511638,59.17794349639222,60,14,4
54.39296870558879,16.315981656211697,92.739048870046,200,12,4
11.900094104067316,31.400152960619497,94.0504899570289,100,12,4
4.443910185428157,8.956094339256282,98.5419771843916,200,8,5
22.44364346389386,45.29836801203388,41.3995992854298,100,20,3
81.45802555305252,1.180200835263312,71.59132284991925,200,18,3
9.204287794246756,10.208737721329042,79.62787216405786,100,8,5
7.880279619531072,57.327826150545526,13.23974290982064,200,22,3
67.1222594046078,0.14746916713761493,76.31442267561184,200,16,4
14.600547619839698,88.44225653301677,55.46282805596721,30,28,2
94.78138292737727,65.5491634661117,99.99956356318222,30,30,2
35.19429487212784,79.36478444829412,1.4385332751679525,60,32,2
19.94383682602634,88.12216598188996,66.0659598348758,30,24,3
85.08832561478488,50.454433533927414,28.53162236005078,200,28,2
90.04162928295455,4.394821328242227,93.93266542339728,200,16,4
5.388729888469356,24.80222665947771,66.71683669553711,30,20,3
79.54376898490003,32.209465882517485,25.23271304371404,200,14,4
19.445115506359144,16.96717534000297,79.82818985370713,200,4,5
43.7827315201754,14.63746624725154,90.7096128939211,100,14,4
8.34769790198746,34.597660856752746,79.03931030702344,200,8,5
82.81171241780558,95.94237376767607,42.815033612853505,60,34,1
61.68736667429001,56.493718068576115,16.856446136910684,30,36,1
18.130155580143647,20.73159743404258,93.02079074785082,200,10,4
69.0205152058192,2.0898324093993836,47.2170743913779,30,26,2
1.523365060700177,74.23503735696218,95.6029405528599,100,16,4
91.26081030206892,3.1274506538482516,90.63587035321741,200,16,4
58.08578695733962,12.452566799810082,77.19496741605903,100,16,4
89.07915715381696,75.88873285522119,43.21116203089239,60,34,1
8.13147345473314,11.155146293100382,92.72995260582802,200,8,5
16.800764046686123,69.24941066162303,66.81587703696833,200,16,4
69.87827190428905,51.08476972096126,47.75248151191116,45,30,2
5.033896440606789,0.21626067483406786,80.14295076833905,60,14,4
36.79533170278362,3.4815744964474815,55.67641295289595,200,14,4
38.228799261405,1.4333816488964701,16.341034995912974,60,24,3
11.289586261203787,19.213401508262606,83.89809967901004,200,8,5
66.95984460249736,65.62459825821986,58.8623619679706,30,32,2
97.35373637358666,81.86236299315573,97.74744725930896,200,24,3
76.78030567548667,56.08104135989726,78.61115018377163,45,28,2
16.53556323447266,3.7792159342809772,89.11510695509438,200,8,5
37.69761766821357,96.37919674997597,70.53426655980998,45,26,2
79.22039930911275,70.03388267066643,76.48896688738861,100,16,4
23.592141940232615,89.2719245167492,4.504402361536197,30,34,1
61.441332252775325,12.623737152554371,1.8934182833525215,60,28,2
19.903162964175024,8.933293516690387,93.20362143018701,100,8,5
14.331502812758368,18.998229716897875,86.68804300818125,45,14,4
14.623382110371153,98.76515929928979,19.713170424468572,200,14,4
98.12269628416695,76.67243513302185,4.182381674385416,60,38,1
69.22959567391734,99.77976368009664,49.94226444448228,45,32,2
5.381276713156535,17.938418420386913,93.38447826422221,200,8,5
65.20927216162555,94.28362137127648,53.82283686685286,100,28,2
85.27458879533947,39.94705617106143,45.01718616049581,200,22,3
15.174664821758066,55.58577491563216,26.50565591104842,30,28,2
